
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2001-02,20,TOT,NBA,SG,77,60,24.9,3.3,7.6,.430,0.5,1.7,.292,2.8,5.9,.469,0.5,0.7,.774,1.0,2.4,3.3,2.3,0.8,0.3,0.9,1.5,7.5
2001-02,20,BOS,NBA,SG,48,33,20.9,2.7,6.2,.439,0.5,1.8,.273,2.2,4.3,.510,0.4,0.5,.769,0.8,2.1,2.9,1.5,0.7,0.2,0.6,1.2,6.3
2001-02,20,PHO,NBA,SG,29,27,31.5,4.2,9.9,.420,0.5,1.4,.333,3.7,8.5,.435,0.7,0.9,.778,1.2,2.9,4.1,3.6,0.9,0.4,1.5,1.9,9.6
2002-03,21,PHO,NBA,SG,82,34,27.5,3.9,9.7,.397,0.9,2.5,.366,2.9,7.2,.408,1.2,1.5,.774,0.7,2.5,3.2,2.6,0.8,0.2,1.3,1.7,9.8
2003-04,22,PHO,NBA,SG,82,77,40.6,6.8,15.7,.430,1.0,3.3,.305,5.8,12.4,.463,2.1,2.8,.750,1.0,3.7,4.7,4.4,1.1,0.3,2.4,2.2,16.7
2004-05,23,PHO,NBA,SF,82,82,39.5,6.6,14.4,.461,2.2,4.5,.478,4.5,9.9,.454,1.6,2.2,.750,1.5,3.7,5.1,3.5,1.0,0.3,1.8,2.0,17.1
2005-06,24,ATL,NBA,SG,82,82,40.7,7.7,17.0,.453,1.6,4.4,.356,6.1,12.6,.487,3.2,4.0,.791,1.2,2.9,4.1,6.5,1.3,0.4,3.3,2.3,20.2
2006-07 ★,25,ATL,NBA,SG,57,57,41.4,9.4,20.0,.471,2.1,5.5,.381,7.3,14.5,.504,4.1,5.5,.748,0.9,3.3,4.2,4.4,1.1,0.2,3.1,2.0,25.0
2007-08 ★,26,ATL,NBA,SG,82,82,40.8,7.9,18.3,.432,2.1,5.4,.381,5.8,12.8,.454,3.9,4.6,.834,1.0,3.5,4.5,5.8,1.0,0.2,2.7,2.0,21.7
2008-09 ★,27,ATL,NBA,SG,79,79,39.5,7.8,18.0,.437,1.9,5.2,.360,6.0,12.7,.468,3.8,4.6,.826,0.8,3.6,4.4,5.8,1.1,0.2,2.5,2.2,21.4
2009-10 ★,28,ATL,NBA,SG,76,76,38.0,8.4,18.2,.458,1.7,4.6,.369,6.7,13.6,.488,2.9,3.5,.818,1.0,3.7,4.6,4.9,1.1,0.1,1.9,1.9,21.3
2010-11 ★,29,ATL,NBA,SG,72,72,35.5,7.1,16.1,.443,1.2,4.2,.297,5.9,12.0,.494,2.7,3.4,.802,0.8,3.2,4.0,4.7,0.7,0.1,2.0,1.8,18.2
2011-12 ★,30,ATL,NBA,SG,60,60,35.5,7.1,15.5,.454,2.1,5.4,.388,5.0,10.2,.489,2.6,3.1,.849,0.9,2.8,3.7,3.9,0.8,0.2,1.9,1.3,18.8
2012-13,31,BRK,NBA,SG,72,72,36.7,6.2,14.6,.423,2.1,5.5,.375,4.1,9.1,.452,1.8,2.2,.820,0.7,2.3,3.0,3.5,0.7,0.2,1.7,1.4,16.3
2013-14 ★,32,BRK,NBA,SG,79,79,32.6,5.8,12.9,.454,2.1,5.1,.401,3.8,7.8,.489,2.0,2.5,.815,0.6,2.8,3.4,2.7,0.6,0.1,1.5,1.6,15.8
Career,,,NBA,,982,912,36.3,6.7,15.1,.443,1.6,4.4,.372,5.1,10.8,.472,2.5,3.1,.800,0.9,3.1,4.0,4.2,0.9,0.2,2.1,1.9,17.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 seasons,,ATL,NBA,,508,508,38.8,7.9,17.6,.449,1.8,4.9,.363,6.1,12.7,.482,3.3,4.1,.808,1.0,3.3,4.2,5.2,1.0,0.2,2.5,2.0,20.9
4 seasons,,PHO,NBA,,275,220,35.4,5.6,12.9,.432,1.3,3.2,.393,4.3,9.7,.445,1.5,2.0,.757,1.1,3.3,4.3,3.5,0.9,0.3,1.8,2.0,14.0
2 seasons,,BRK,NBA,,151,151,34.5,6.0,13.7,.438,2.1,5.3,.388,4.0,8.4,.470,1.9,2.4,.817,0.7,2.6,3.2,3.1,0.6,0.2,1.6,1.5,16.0
1 season,,BOS,NBA,,48,33,20.9,2.7,6.2,.439,0.5,1.8,.273,2.2,4.3,.510,0.4,0.5,.769,0.8,2.1,2.9,1.5,0.7,0.2,0.6,1.2,6.3
